Ástaigos_kodas;Ataskaitinio_laikotarpio_pradþia;Ataskaitinio_laikotarpio_pabaiga;Gydytojo_ID;Prisiraðiusiø_prie_gydytojo_gyventojø_skaièius;Gydytojo_viso_ataskaitinio_laikotarpio_darbo_valandø_kiekis_viso;Ataskaitos_sukûrimo_data;
125873515;2023-04-01;2023-06-30;4091;745;239,41;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;2294;1505;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;2698;808;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;2029;786;527,31;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;3623;868;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;2037;815;461,7;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;1929;908;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;2287;786;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;3815;835;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;2536;692;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;3891;775;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;2293;790;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;2014;874;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;3805;900;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;2295;724;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;2076;856;471,2;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;4321;894;478,8;2023-07-07 11:23;
125873515;2023-04-01;2023-06-30;4540;688;478,8;2023-07-07 11:23;
